,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,Rechtswissenschaften,1946-1949,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,Dr. jur.,1949,Universität Freiburg im Breisgau,,Albert-Ludwigs-Universität Freiburg (Freiburg im Breisgau),3314
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,Verwaltungswissenschaft,1960-1961,Harvard University,,Harvard University Cambridge (Cambridge),1473
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Referent Forschungsinstitut,,1962-1965,Hochschule für Verwaltungswissenschaften Speyer,,Deutsche Universität für Verwaltungswissenschaften Speyer (Speyer),1543
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Abteilungsleiter,,1965-1968,Universität Münster/Dortmund,Sozialforschungsstelle der Universität Münster in Dortmund - Nachfolgeinstitution seit 1972: Sozialforschungsstelle Dortmund,Sozialforschungsstelle Dortmund -sfs- Zentrale wissenschaftliche Einrichtung der Technischen Universität Dortmund (Dortmund),2321
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,Soziologie,1965/66,Universität Münster,,Westfälische Wilhelms-Universität Münster (Münster),3340
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,Dr.sc.pol und Habilitation: Recht und Automation in der öffentlichen Verwaltung. Eine verwaltungswissenschaftliche Untersuchung.,1966,Universität Münster,,Westfälische Wilhelms-Universität Münster (Münster),3340
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Vertretung des Lehrstuhls von Theodor W. Adorno,,1968/69,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Luhmann, Niklas",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Professor ,Soziologie,1968-1993 (em.),Universität Bielefeld,,Universität Bielefeld (Bielefeld),3300
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,"Philosophie, Geschichte, Psychologie, Germanistik und Ökonomie",1949/50,Universität Göttingen ,,Georg-August-Universität Göttingen (Göttingen),9292
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,"Philosophie, Geschichte, Psychologie, Germanistik und Ökonomie",1950/51,Universität Zürich,,Universität Zürich (Zürich),3354
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,"Philosophie, Geschichte, Psychologie, Germanistik und Ökonomie",1951-1954,Universität  Bonn,,Rheinische Friedrich-Wilhelms-Universität Bonn (Bonn),3302
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,Dr. phil - Titel Dissertation: Das Absolute in der Geschichte. Von der Zwiespältigkeit in Schellings Denken.,1954,Universität Bonn,,Rheinische Friedrich-Wilhelms-Universität Bonn (Bonn),3302
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Forschungsassistenz ,Forschungsassistenz am Institut für Sozialforschung in FFM auf Einladung von Theodor W. Adorno,1956-1959,Institut für Sozialforschung in Frankfurt am Main,,Institut für Sozialforschung -IfS- an der Universität Frankfurt am Main (Frankfurt am Main),1796
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Studium,Habilitation - Titel: Strukturwandel der Öffentlichkeit- Untersuchungen zu einer Kategorie der bürgerlichen Gesellschaft.,1961,Universität Marburg,,Philipps-Universität Marburg (Marburg),3338
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Außerordentlicher Professor,Philiosophie,1961-1964,Universität Heidelberg,,Universität Heidelberg (Heidelberg),3324
"Habermas, Jürgen",Uni Graz Lexikon 50 Klassiker der Soziologie (http://agso.uni-graz.at/lexikon/klassiker/goffman/20li.htm),Ordentlicher Professor ,Philosophie und Soziologie,1964-1971,Goethe-Universität Frankfurt,,Goethe-Universität Frankfurt (Frankfurt am Main),3313
