Netzwerkforschung Sprecher,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst,SOFISwiki_instID
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Studium,Political Science (Diplom),1995-2000,Free University Berlin,n,Freie Universität Berlin (Berlin),1255
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Master ,Social and Political Thought,1998-1999,Warwick University (UK),n,University of Warwick Coventry (Coventry),12814
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Dr. phil.,Sociology,2007/03,Universität Stuttgart,n,Universität Stuttgart (Stuttgart),9343
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Habilitation ,Sociology,2011/10,University of Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Academic Assistant,"Sociological Theory, Social Inequality",2000-2007,Universität Stuttgart,Institute of Social Sciences,Universität Stuttgart (Stuttgart),9343
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Feodor Lynen-Fellow (post-doc),n,2007-2008,"Columbia University, funded by the Alexander von Humboldt Foundation",Paul Lazarsfeld Institute for the Social Sciences,Columbia University New York (New York),659
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Feodor Lynen-Fellow (post-doc),n,2008-2009,Universität Stuttgart,International Center for Cultural and Technological Research (IZKT),Internationales Zentrum für Kultur- und Technikforschung (Stuttgart),29527
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Assistant Professor,Political Sociology,2009-2013,University of Bielefeld,Department of Sociology,Fak. für Soziologie (Bielefeld),8592
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Heisenberg Fellow,n,2013-,Humboldt University of Berlin (funded by the German Research Association),Institute of Social Sciences,Humboldt-Universität Berlin (Berlin),12708
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Organization of Conferences,"""Gegenwärtige Zukünfte: Technik und Gesellschaft in der Science Fiction der Gegenwart""",2007/04,Universität Stuttgart,International Center for Cultural and Technological Research,Internationales Zentrum für Kultur- und Technikforschung (Stuttgart),29527
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Organization of Conferences,"""Relational Sociology - Transatlantic Impulses for the Social Sciences""",2008/09,Humboldt University of Berlin,Berlin Graduate School of Social Science,Berlin Graduate School of Social Sciences (Berlin),28138
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Organization of Conferences,"""Kultur und Kommunikationstechnologien in sozialen Netzwerken""",2009/05,Universität Stuttgart, International Center for Cultural and Technological Research,Internationales Zentrum für Kultur- und Technikforschung (Stuttgart),29527
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Organization of Conferences,"""Netzwerke in gesellschaftlichen Feldern""",2016/05,Humboldt University Berlin,Berlin Graduate School of Social Science,Berlin Graduate School of Social Sciences (Berlin),28138
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Member of the Steering Commitee,Section for Sociological Network Research,2012-2014,German Sociological Association,Section for Sociological Network Research,Deutsche Gesellschaft für Soziologie -DGS- (Essen),9611
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Chair of, Section for Sociological Network Research,2014-,German Sociological Association, Section for Sociological Network Research,Deutsche Gesellschaft für Soziologie -DGS- (Essen),9611
"Fuhse, Jan Arendt",http://www.janfuhse.de/vita.html,Organizer ," informal discussion group ""Berliner Netzwerk für Netzwerkforschung""",2009-2016,"""Berliner Netzwerk für Netzwerkforschung""",n,n,n
"Petermann, Sören",Uni Bochum,Studium ,Soziologie ,1991–1996,Universität Leipzig,n,Universität Leipzig (Leipzig),12411
"Petermann, Sören",Uni Bochum,Studium ,Soziologie ,1991–1996,"Universität Utrecht, Niederlande",n,Utrecht University (Utrecht),19936
"Petermann, Sören",Uni Bochum,wiss. Mitarbeiter bzw. Assistent,n,1997–2008,Martin-Luther-Universität Halle-Wittenberg,Institut für Soziologie,"Institut für Soziologie
Philosophische Fakultät I Sozialwissenschaften und historische Kulturwissenschaften (Halle)
Martin-Luther-Universität Halle-Wittenberg (Halle)",13695
"Petermann, Sören",Uni Bochum,wiss. Mitarbeiter bzw. Assistent,n,1997–2008,Friedrich-Schiller-Universität Jena,Sonderforschungsbereich 580 „Gesellschaftliche Entwicklungen nach dem Systemumbruch“,"Sonderforschungsbereich 580: Gesellschaftliche Entwicklungen nach dem Systemumbruch. Diskontinuität, Tradition und Strukturbildung",20061587
"Petermann, Sören",Uni Bochum,Research Fellow,n,2008–2014,Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften Göttingen,n,Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften Göttingen,31417
"Petermann, Sören",Uni Bochum,Vertretungsprofessur,n,2013–2015,Martin-Luther-Universität Halle-Wittenberg ,n,Martin-Luther-Universität Halle-Wittenberg (Halle),13007
"Petermann, Sören",Uni Bochum,Vertretungsprofessur,n,2013–2015,Goethe-Universität Frankfurt am Main,n,Goethe-Universität Frankfurt (Frankfurt am Main),3313
"Petermann, Sören",Uni Bochum,Teamleiter ,n,2015–2016,GESIS Leibniz-Institut für Sozialwissenschaften Köln,Stabsstelle Wissensvermittlung,GESIS - Leibniz-Institut für Sozialwissenschaften (Köln),69256
