Bisch,Quelle_Inst,function,activity,Zeitraum,Institution,spezifische Institution,SOFISwiki_Inst/Projekt,SOFISwiki_instID/Projekt-ID
"Blossfeld, Hans-Peter",Uni Bamberg,,,,Universität Bamberg,Bamberg Graduate School of Social Sciences,Bamberg Graduate School of Social Sciences (Bamberg),725858
"Blossfeld, Hans-Peter",Google Scholar,,,,European University Institute (EUI),n,European University Institute (San Domenico di Fiesole),254
"Blossfeld, Hans-Peter",Wikipedia,Professor und Chair in Political and Social Sciences ,,1989-1992,European University Institute (EUI),n,European University Institute (San Domenico di Fiesole),254
"Blossfeld, Hans-Peter",Wikipedia,Professor und Chair of Sociology,,2012/9-,European University Institute,n,European University Institute (San Domenico di Fiesole),254
"Blossfeld, Hans-Peter",European University Institute (San Domenico di Fiesole),,Venia Legendi,1987,Freie Universität Berlin,n,Freie Universität Berlin (Berlin),1255
"Blossfeld, Hans-Peter",Wikipedia,,,1984–1992,Max-Planck-Institut für Bildungsforschung (Berlin),n,Max-Planck-Institut für Bildungsforschung (Berlin),2458
"Blossfeld, Hans-Peter",Wikipedia,Fellow,,1988-1989,Netherlands Institute for Advanced Study in the Humanities and Social Sciences,n,n,n
"Blossfeld, Hans-Peter",Wikipedia,Direktor,,2008–2012,Institut für bildungswissenschaftliche Längsschnittstudien (ifb),n,n,n
"Blossfeld, Hans-Peter",Wikipedia,Gründer und Leiter,,2006-2008,Nationales Bildungspanel (NEPS),n,n,n
"Blossfeld, Hans-Peter",Google Scholar,,,,Universität Bamberg,n,Otto-Friedrich-Universität Bamberg (Bamberg),3295
"Blossfeld, Hans-Peter",Wikipedia,Lehrstuhl für Soziologie I,,2002-,Universität Bamberg,n,Otto-Friedrich-Universität Bamberg (Bamberg),3295
"Blossfeld, Hans-Peter",Wikipedia,Leiter,,2003–2012,Universität Bamberg,Staatsinstitut für Familienforschung,Staatsinstitut für Familienforschung an der Universität Bamberg (Bamberg),17827
"Blossfeld, Hans-Peter",Wikipedia,"Lehrstuhlinhaber für Allgemeine Soziologie, insbesondere Theorie und Empirie von Sozialstrukturen und Wirtschaftssystemen",,1998-2002,Universität Bielefeld,n,Universität Bielefeld (Bielefeld),3300
"Blossfeld, Hans-Peter",Wikipedia,Lehrstuhlinhaber für Statistik und Methoden der empirischen Sozialforschung,,1992-1998,Universität Bremen,n,Universität Bremen (Bremen),3303
"Blossfeld, Hans-Peter",European University Institute (San Domenico di Fiesole),,Dr. rer. pol.,1984,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Blossfeld, Hans-Peter",Wikipedia,VASMA-Projekt,,1980-1984,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Blossfeld, Hans-Peter",Wikipedia,,,1976-1980,Universität Regensburg (Regensburg),n,Universität Regensburg (Regensburg),3344
"Brüderl, Josef",Ludwig-Maximilians-Universität München,Wissenschaftlicher Assistent Institut für Soziologie Universität Bern,,1991-1992,Universität Bern,Institut für Soziologie,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Brüderl, Josef",Ludwig-Maximilians-Universität München,Habilitation,Venia Legendi,1997,Universität Bern,Institut für Soziologie,Department Sozialwissenschaften Institut für Soziologie (Bern),8563
"Brüderl, Josef",Ludwig-Maximilians-Universität München,Wissenschaftlicher Assistent Institut für Soziologie LMU München,,1992-1998,Ludwig-Maximilians-Universität München,Institut für Soziologie,Institut für Soziologie (München),8978
"Brüderl, Josef",Ludwig-Maximilians-Universität München,Professor für Soziologie ,,2011 - ,Ludwig-Maximilians-Universität München,Institut für Soziologie,Institut für Soziologie (München),8978
"Brüderl, Josef",Ludwig-Maximilians-Universität München,Studium,Diplom Soziologie,1981 - 1986,Ludwig-Maximilians-Universität München,n,Ludwig-Maximilians-Universität München (München),3339
"Brüderl, Josef",Ludwig-Maximilians-Universität München,Studium,Diplom Ökonomie,1983 - 1988,Ludwig-Maximilians-Universität München,n,Ludwig-Maximilians-Universität München (München),3339
"Brüderl, Josef",Ludwig-Maximilians-Universität München,Studium,Dr. rer. pol.,1990,Ludwig-Maximilians-Universität München,n,Ludwig-Maximilians-Universität München (München),3339
"Brüderl, Josef",Ludwig-Maximilians-Universität München,Professor für Statistik und Methoden der Sozialforschung,,1998 - 2011,Universität Mannheim,n,Universität Mannheim (Mannheim),3337
"Davidov, Eldad",Universität Zürich,Member,Scientific advisory board,n,GESIS ,n,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Davidov, Eldad",Universität Köln,Member,Scientific advisory board,n,GESIS,n,GESIS - Leibniz-Institut für Sozialwissenschaften (Mannheim),10581
"Davidov, Eldad",Universität Zürich,Ph.D. in Social Sciences,n,2001-2004,Gießen University,n,Justus-Liebig-Universität Gießen (Gießen),3320
"Davidov, Eldad",Universität Zürich,Research assistant and project director,n,2004-2006,Gießen University,n,Justus-Liebig-Universität Gießen (Gießen),3320
"Davidov, Eldad",Universität Köln,Ph.D. in Social Sciences,n,2001-2004,Gießen University,n,Justus-Liebig-Universität Gießen (Gießen),3320
"Davidov, Eldad",Universität Köln,Research assistant and project director,n,2004-2006,Gießen University,n,Justus-Liebig-Universität Gießen (Gießen),3320
"Davidov, Eldad",Universität Zürich,Co-director,"University Research Priority Program (URPP) ""Social Networks""",2015-,n,n,n,n
"Davidov, Eldad",Universität Zürich,President,European Survey Research Association (ESRA),2015-2017,n,n,n,n
"Davidov, Eldad",Universität Zürich,Editor of the book series of the European Association of Methodology (EAM),n,n,n,n,n,n
"Davidov, Eldad",Universität Zürich,Advisory board member,"Journals: Survey Research Methods (SRM), Social Science Research (SSR), Social Problems",n,n,n,n,n
"Davidov, Eldad",Universität Zürich,Vice president,European Survey Research Association (ESRA),2013/07-2015/07,European Survey Research Association,n,n,n
"Davidov, Eldad",Universität Zürich,President,European Survey Research Association (ESRA),2015/07-2017/07,European Survey Research Association,n,n,n
"Davidov, Eldad",Universität Köln,Co-director,"University Research Priority Program (URPP) ""Social Networks""",2015-,n,n,n,n
"Davidov, Eldad",Universität Köln,President,European Survey Research Association (ESRA),2015-2017,n,n,n,n
"Davidov, Eldad",Universität Köln,Editor of the book series of the European Association of Methodology (EAM),Services,n,European Association of Methodoloy (EAM),n,n,n
"Davidov, Eldad",Universität Köln,Guest editor ,"special issue in the journals: Survey Research Methods, Sociological Methods&Research, International Journal of Comparatove Sociology, Methods, Data, Analyses",n,n,n,n,n
"Davidov, Eldad",Universität Köln,Advisory board member,"in the journals: Survey Research Methods, Social Science Research, Social Problems, Politische Psychologie",n,n,n,n,n
